id,brand,name,scale,serial_number,category_family,category_subject,scalemates_url
203,AMT,1958 Chevy Impala,1/25,T273,automotive,car,https://www.scalemates.com/kits/amt-t273-225-1958-chevy-impala--983737
204,AMT,32 Ford Five-Window Coupe,1/25,T147,automotive,car,https://www.scalemates.com/kits/amt-t147-32-ford-five-window-coupe--1153650
205,AMT,32 Ford Phaeton,1/25,A125,automotive,car,https://www.scalemates.com/kits/amt-a125-32-ford-phaeton--1153600
206,AMT,34 Ford Pickup,1/25,T145,automotive,car,https://www.scalemates.com/kits/amt-t145-34-ford-pickup--208913
207,AMT,40 Ford Sedan Delivery,1/25,T149,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t149-40-ford-sedan-delivery--1153651
208,AMT,53 Ford Pickup Street Rods,1/25,T410,automotive,car,https://www.scalemates.com/kits/amt-t410-53-ford-pickup--1153986
209,AMT,55 Chevy Nomad,1/25,T289,automotive,car,https://www.scalemates.com/kits/amt-t289-55-chevy-nomad--946950
250,AMT,56 Ford Victoria Hardtop,1/25,T271-200,automotive,car,https://www.scalemates.com/kits/amt-t271-200-56-ford-victoria-hardtop--1153815
27,AMT,57 Chevy Bel Air Hardtop,1/25,31543,automotive,car,https://www.scalemates.com/kits/amt-t280-57-chevy-bel-air-hardtop--1153871
210,AMT,59 Chevy El Camino,1/25,T398,automotive,car,https://www.scalemates.com/kits/amt-t398-59-chevy-el-camino--965615
211,AMT,63 Corvette Stingray,1/25,A163,automotive,car,https://www.scalemates.com/kits/amt-a163-63-corvette--176546
212,AMT,65 Ford Galaxie XL,1/25,T407,automotive,car,https://www.scalemates.com/kits/amt-t407-65-ford-galaxie-xl--1266213
28,AMT,American Lafrance Ladder Chief Rear Mounted Aerial Ladder Truck,1/25,T511,commercial_vehicle,truck,https://www.scalemates.com/de/kits/amt-t511-ladder-chief--1387435
213,AMT,Aquarod Race Team,1/25,T-561,automotive,car,https://www.scalemates.com/kits/amt-t-561-aquarod-race-team--988905
214,AMT,Autocar A64B tractor,1/25,T-526,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t-526-autocar-a64b-tractor--964687
215,AMT,Bobby Allison Malibu Chevy,1/25,T373,automotive,race_car,https://www.scalemates.com/kits/amt-t373-bobby-allison-malibu-chevy--1273944
216,AMT,Chevy Titan 90,1/25,T-509,automotive,car,https://www.scalemates.com/de/kits/amt-t-509-chevy-titan-90--570134
251,AMT,Corvair Custom,1/25,T159,automotive,car,https://www.scalemates.com/kits/amt-t159-corvair-custom--965563
217,AMT,Crew Chief,1/25,T340-225,automotive,car,https://www.scalemates.com/kits/amt-t340-225-crew-chief--1153940
220,AMT,DRAGRAY Corvette Funny Car,1/25,T352,automotive,race_car,https://www.scalemates.com/kits/amt-t352-dragray-corvette-funny-car--1342926
218,AMT,Diamond Reo,1/25,T537,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t537-diamond-reo--964703
219,AMT,Dodge Nitro Charger,1/25,T179-225,automotive,car,https://www.scalemates.com/kits/amt-t179-225-dodge-nitro-charger--1153682
252,AMT,Exterior post van,1/43,T-704,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t-704-exterior-post-van--176561
387,AMT,Ford C-600 City Delivery,1/25,T-548/ T596,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t-548-ford-c-600-city-delivery--988860
221,AMT,Ford LNT-8000 Tractor,1/25,T-504,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t-504-ford-lnt-8000-tractor--391027
222,AMT,"Fruehauf 40ft. Reefer ""Watkins""",1/25,T507,commercial_vehicle,trailer,https://www.scalemates.com/de/kits/amt-t-531-tanker-semi-trailer--670562
253,AMT,Fruehauf FB 40 Foot Refrigerator Van Reefer,1/43,T-701,commercial_vehicle,trailer,https://www.scalemates.com/kits/amt-t-701-reefer--1183455
388,AMT,Fruehauf Flatbed Trailer,1/25,T-545,commercial_vehicle,trailer,https://www.scalemates.com/kits/amt-t-545-flatbed-trailer--674645
29,AMT,"Fruehauf Tanker Semi Trailer ""Union 76"" & ""Gulf""",1/25,T-531,commercial_vehicle,trailer,https://www.scalemates.com/de/kits/amt-t-531-tanker-semi-trailer--670562
223,AMT,Gremlin X,1/25,T368 / T427,automotive,car,https://www.scalemates.com/kits/amt-t368-250-gremlin-x--1158526
224,AMT,Gurney/Jorgensen Eagle,1/25,T255,automotive,car,https://www.scalemates.com/kits/amt-t255-jorgensen-eagle--210196
225,AMT,Kandy Van,1/25,T-246,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t-246-kandy-van--963125
31,AMT,"Kenworth Conventional W-925 ""Watkins""",1/25,T-519,commercial_vehicle,truck,https://www.scalemates.com/de/kits/amt-t-519-kenworth-conventional-w-925--178231
30,AMT,Kenworth K-123 Cabover,1/25,687,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-687-kenworth--142273
226,AMT,"Kenworth W-925 ""Watkins"" /  ""Movin' On"" Kenworth Truck Tractor",1/25,T-519 / T-560,commercial_vehicle,truck,https://www.scalemates.com/de/kits/amt-t-519-kenworth-conventional-w-925--178231
227,AMT,McLaren M16 C/D,1/25,T260,automotive,race_car,https://www.scalemates.com/kits/amt-t260-mclaren-m16-c-d--210192
228,AMT,Mercedes-Benz 300SL,1/25,T412,automotive,car,https://www.scalemates.com/kits/amt-t412-mercedes-benz-300sl--1109753
229,AMT,Modern Classics Studebaker Avanti,1/25,T413,commercial_vehicle,truck,https://www.scalemates.com/kits/amt-t413-studebaker-avanti--1150507
230,AMT,Mopower Plymouth Funny Car T351,1/25,T351,automotive,race_car,https://www.scalemates.com/kits/amt-t351-plymouth-funny-car--974586
231,AMT,Mustang GT Road Racer,1/25,T385,automotive,car,https://www.scalemates.com/kits/amt-t385-mustang-gt-road-racer--1074714
