sha256,canonical_abs_path,canonical_rel_path,filename,ext,size_bytes,width,height,root_key,subject,subject_detail,source_platform,source_collection,source_creator,source_confidence,content_kind,duplicate_count,suggested_title,suggested_image_code,db_ready,bucket,bucket_reason
83201630909ab460790e928ad9a297d7922b6c069031e40d0a59dfc0ca77745e,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets\033fc18240faa23873ace9b52bf666a2.jpeg,PropstoreAuctions\PhotoSets\033fc18240faa23873ace9b52bf666a2.jpeg,033fc18240faa23873ace9b52bf666a2.jpeg,.jpeg,232008,1800,1427,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-83201630909A,yes,safe_to_stage,attributed_and_nonhistorical
6611f02e7ac5ba3651343473d213a5efb11116696b5f2e6a106e0578964fafec,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\1fff8c28c21963dc29712e4f3f5575fb.jpg,PropstoreAuctions\PhotoSets_02\1fff8c28c21963dc29712e4f3f5575fb.jpg,1fff8c28c21963dc29712e4f3f5575fb.jpg,.jpg,221097,1600,1149,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-6611F02E7AC5,yes,safe_to_stage,attributed_and_nonhistorical
0a5334c5bd595787daae4ff6a8c78e67cc716a0a3efa2cf5e0d52df899947f96,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\2affcb2c5ed278155438a6cfecad428b.jpg,PropstoreAuctions\PhotoSets_02\2affcb2c5ed278155438a6cfecad428b.jpg,2affcb2c5ed278155438a6cfecad428b.jpg,.jpg,248869,1600,1232,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-0A5334C5BD59,yes,safe_to_stage,attributed_and_nonhistorical
5221fe38256a9a8badf4b151cd9faed766ac4900e7cd797d4f3f4aa3fd7953fd,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\43a79cb3e0a8ef75f09427f345433858.jpg,PropstoreAuctions\PhotoSets_02\43a79cb3e0a8ef75f09427f345433858.jpg,43a79cb3e0a8ef75f09427f345433858.jpg,.jpg,175053,1600,1081,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-5221FE38256A,yes,safe_to_stage,attributed_and_nonhistorical
fd0a7d9b95e413165eae30f63b2ad6c0a06c57b9f646d47b036da66c1205b5a4,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\4735191b9bb42d32a6da4f79a3ad58d4.jpg,PropstoreAuctions\PhotoSets_02\4735191b9bb42d32a6da4f79a3ad58d4.jpg,4735191b9bb42d32a6da4f79a3ad58d4.jpg,.jpg,141167,1600,1100,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-FD0A7D9B95E4,yes,safe_to_stage,attributed_and_nonhistorical
ac4f3e5c44f8aec17cb385ee1b8f6e92b249785c2c529e136853ccf1b8ebcf73,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\4eb5467b882e1434b731e80a5a8d8d26.jpg,PropstoreAuctions\PhotoSets_02\4eb5467b882e1434b731e80a5a8d8d26.jpg,4eb5467b882e1434b731e80a5a8d8d26.jpg,.jpg,276088,1494,1600,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-AC4F3E5C44F8,yes,safe_to_stage,attributed_and_nonhistorical
805059cf57fbae59cedfb41e1fddf1c699b9a4b414e4e6f5bbebf88c1339ac3b,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\52ec629f9251abb5b174a59cbc2bd81c.jpg,PropstoreAuctions\PhotoSets_02\52ec629f9251abb5b174a59cbc2bd81c.jpg,52ec629f9251abb5b174a59cbc2bd81c.jpg,.jpg,231167,1600,1261,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-805059CF57FB,yes,safe_to_stage,attributed_and_nonhistorical
6dedddff0463a8e17672d47b9e1ee79c81d671110078801b0f34bd8cb3a29741,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets\5313b1834bf490bfc9c9ea825344237e.jpeg,PropstoreAuctions\PhotoSets\5313b1834bf490bfc9c9ea825344237e.jpeg,5313b1834bf490bfc9c9ea825344237e.jpeg,.jpeg,322879,1489,1800,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-6DEDDDFF0463,yes,safe_to_stage,attributed_and_nonhistorical
6668b9ecd011920f1e3ea5d6cf0393f3daef100e0e72986709432e4298f4d176,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets_02\8163aec2a8544ec4229a7885e7de4d8d.jpg,PropstoreAuctions\PhotoSets_02\8163aec2a8544ec4229a7885e7de4d8d.jpg,8163aec2a8544ec4229a7885e7de4d8d.jpg,.jpg,286963,1473,1600,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-6668B9ECD011,yes,safe_to_stage,attributed_and_nonhistorical
4a35cdd097b31fdb54ad43827452984e5d7f46bc4211170c53258b978106a70d,D:\Documents\privat\MillenniumFalcon\mf\References\PropstoreAuctions\PhotoSets\8528fad781fb8b1390b618829fe67246.jpeg,PropstoreAuctions\PhotoSets\8528fad781fb8b1390b618829fe67246.jpeg,8528fad781fb8b1390b618829fe67246.jpeg,.jpeg,249890,1800,1350,mf_references,Millennium Falcon,PropstoreAuctions,auction,Propstore,Propstore,high,auction_photo,1,Millennium Falcon - Propstore - PropstoreAuctions,REF-4A35CDD097B3,yes,safe_to_stage,attributed_and_nonhistorical
